Site_ID,Lat,Lon,Total_Facilities,Diversity_Index,Facility_Types_List,Subtype_Diversity
1206541,52.53674,1.083251,1,1,5,1
1206542,52.58237,1.255009,6,1,"5, 5, 5, 5, 5, 5",6
1206543,52.58242,1.13144,2,1,"5, 5",2
1206547,51.50828,0.3649409,1,1,5,1
1206548,51.49775,0.3045829,1,1,5,1
1206550,52.631,1.32699,3,2,"5, 5, 20",3
1206553,54.93282,-1.632571,4,2,"5, 5, 5, 8",4
1206554,54.94225,-1.594032,2,1,"5, 5",1
1206556,54.94258,-1.595043,2,1,"5, 5",2
1206559,54.66788,-1.618411,3,2,"5, 5, 17",3
1206560,54.65144,-1.744179,5,1,"5, 5, 5, 5, 5",5
1206562,54.66294,-1.689632,3,1,"5, 5, 5",3
1206563,54.66193,-1.672643,1,1,5,1
1206564,50.91285,-3.227702,1,1,5,1
1206565,50.92196,-3.374309,6,3,"5, 5, 5, 5, 8, 17",6
1206566,50.85362,-3.38662,1,1,5,1
1206567,50.85287,-3.582044,1,1,5,1
1206568,50.64327,-4.367822,3,3,"5, 8, 17",3
1206569,50.8004,-3.663375,1,1,5,1
1206570,50.45975,-4.711263,10,5,"2, 5, 5, 5, 5, 6, 6, 12, 17, 17",9
1206575,51.75416,-0.3249912,1,1,5,1
1206576,51.11807,-3.949518,3,2,"5, 5, 17",3
1206577,51.80924,-0.3524103,1,1,5,1
1206578,51.80222,-0.372251,4,2,"5, 5, 5, 8",3
1206579,51.70607,-0.304092,2,1,"5, 5",2
1206580,51.82627,-0.3582931,1,1,5,1
1206581,51.79956,-0.2982852,1,1,5,1
1206582,51.02659,-4.099878,1,1,5,1
1206583,51.72848,-0.3072298,2,1,"5, 5",1
1206584,51.08988,-4.045293,1,1,5,1
1206585,51.72165,-0.3388208,3,1,"5, 5, 5",3
1206586,51.02566,-3.826723,1,1,5,1
1206587,51.35652,-2.626991,2,1,"5, 5",1
1206588,51.08184,-4.069283,4,1,"5, 5, 5, 5",3
1206589,51.10631,-4.167982,1,1,5,1
1206590,51.75575,-0.2726595,3,1,"5, 5, 5",2
1206591,51.41856,-2.506536,3,1,"5, 5, 5",2
1206592,50.46368,-3.709781,2,2,"5, 17",2
1206594,50.42632,-3.82645,4,2,"5, 5, 5, 8",4
1206595,51.4161,-2.499146,1,1,12,1
1206596,50.28047,-3.770298,2,1,"5, 5",2
1206597,51.11954,1.302456,2,1,"5, 5",2
1206599,51.40938,-2.507915,1,1,12,1
1206600,50.3889,-3.90318,4,2,"5, 5, 5, 8",2
1206601,50.23638,-3.774222,2,1,"5, 5",2
1206602,51.2056,1.386239,2,1,"5, 5",2
1206604,51.41643,-2.499128,1,1,6,1
1206605,50.54241,-3.600905,2,1,"5, 5",2
1206606,52.15892,0.7825294,1,1,6,1
1206609,50.50427,-3.626617,1,1,5,1
1206610,52.02748,0.8595613,1,1,6,1
1206611,51.39904,-2.332298,2,1,"5, 5",1
1206612,51.02448,-4.205472,2,1,"5, 5",2
1206613,50.95416,-4.125588,1,1,5,1
1206614,52.12893,0.7524765,1,1,6,1
1206616,52.07254,0.7605196,4,2,"5, 5, 5, 6",4
1206618,51.36592,-2.60935,3,2,"6, 6, 12",2
1206619,51.72298,-2.012221,1,1,5,1
1206620,51.36473,-2.607691,1,1,5,1
1206621,51.61584,-2.21334,1,1,5,1
1206622,51.32458,-2.461814,1,1,5,1
1206623,51.74881,-2.085733,1,1,5,1
1206624,52.34552,1.318911,2,2,"5, 17",2
1206625,51.31992,-2.540328,2,2,"5, 6",2
1206626,52.20034,1.028201,4,1,"5, 5, 5, 5",4
1206628,52.19652,1.066046,1,1,5,1
1206629,52.30268,1.038215,1,1,5,1
1206630,55.02964,-1.460124,4,2,"5, 5, 5, 8",4
1206631,52.24829,1.079183,5,3,"5, 5, 5, 6, 17",5
